PULocationID,pickup_zone,pickup_hour,trips,avg_duration_min,median_duration_min,expected_duration_min,p90_duration_min,delay_rate,month,metric,low_sample,metric_order,unreliable_trips,benchmark_share_citywide_hour,benchmark_share_pickup_borough_hour,benchmark_share_pickup_zone_hour,benchmark_share_zone_pair_hour,pickup_borough,total_revenue,total_distance_mi,revenue_per_mile,avg_fare,scope,condition,avg_temperature_c,zero_distance_trips,zero_fare_trips,zero_distance_and_fare_trips,zero_distance_rate,zero_fare_rate,passenger_count_missing_rate,duplicate_key_rate
125.0,Hudson Sq,16.0,846,20.397281323877067,14.916666666666668,14.916666666666668,38.400000000000006,0.4716312056737589,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
41.0,Central Harlem,20.0,860,17.41089147286822,14.175,14.175,32.21000000000001,0.47093023255813954,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
102.0,Glendale,13.0,34,30.88774509803922,18.95,18.95,77.59499999999998,0.47058823529411764,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
50.0,Clinton West,15.0,1105,16.563001508295624,13.583333333333334,13.583333333333334,30.226666666666667,0.47058823529411764,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
41.0,Central Harlem,22.0,727,15.774942686840898,13.1,13.1,28.55,0.47042640990371387,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
217.0,South Williamsburg,21.0,49,20.36156462585034,17.166666666666668,17.166666666666668,35.85333333333333,0.46938775510204084,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
42.0,Central Harlem North,17.0,767,23.667753150804,18.783333333333335,18.783333333333335,43.14,0.46936114732724904,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
139.0,Laurelton,17.0,32,51.40416666666667,41.30833333333334,41.30833333333334,95.14,0.46875,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
217.0,South Williamsburg,17.0,32,24.514583333333334,21.34166666666667,21.34166666666667,45.57333333333335,0.46875,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
254.0,Williamsbridge/Olinville,13.0,79,40.27489451476793,33.43333333333333,33.43333333333333,80.70666666666668,0.46835443037974683,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
218.0,Springfield Gardens North,15.0,30,42.28388888888889,31.541666666666664,31.541666666666664,86.08333333333336,0.4666666666666667,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
149.0,Madison,8.0,45,41.08851851851852,33.75,33.75,77.84666666666666,0.4666666666666667,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
121.0,Hillcrest/Pomonok,8.0,45,36.09407407407407,24.566666666666666,24.566666666666666,69.76,0.4666666666666667,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
236.0,Upper East Side North,23.0,1414,12.34442479962282,9.816666666666666,9.5,23.573333333333334,0.46534653465346537,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
91.0,Flatlands,4.0,43,39.06744186046512,29.85,29.85,85.10333333333338,0.46511627906976744,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
74.0,East Harlem North,15.0,882,22.776455026455025,18.575,18.575,41.51666666666666,0.46485260770975056,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
41.0,Central Harlem,12.0,768,20.39353298611111,16.566666666666666,16.566666666666666,38.26166666666668,0.46484375,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
78.0,East Tremont,19.0,41,29.215853658536584,17.85,17.85,52.21666666666667,0.4634146341463415,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
125.0,Hudson Sq,18.0,1371,16.802188183807438,13.983333333333333,13.983333333333333,31.2,0.4617067833698031,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
55.0,Coney Island,20.0,39,32.4474358974359,26.3,26.3,65.88333333333334,0.46153846153846156,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
197.0,Richmond Hill,5.0,104,28.872756410256407,22.733333333333334,22.733333333333334,57.29833333333334,0.46153846153846156,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
42.0,Central Harlem North,19.0,718,19.809633240482825,17.425,17.425,36.94166666666667,0.4596100278551532,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
108.0,Gravesend,8.0,37,36.454504504504506,24.066666666666666,24.066666666666666,77.12333333333332,0.4594594594594595,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
50.0,Clinton West,14.0,1081,16.40146469318532,13.816666666666666,13.816666666666666,29.15,0.4588344125809436,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
