month,metric,scope,condition,pickup_borough,trips,delay_rate,avg_duration_min,avg_temperature_c
2026-01,weather_delay_rate,citywide,rainy,ALL,365565,0.29180309931202386,16.047663890142655,1.3588636767743076
2026-01,weather_delay_rate,citywide,dry,ALL,3224477,0.3317806267497024,17.36179142643391,-2.554836954954246
2026-01,weather_delay_rate,borough,dry,Bronx,32530,0.38244697202582234,37.83438005943232,-3.4645434983092533
2026-01,weather_delay_rate,borough,rainy,Bronx,3687,0.2606455112557635,26.438030015369318,-0.9748304854895579
2026-01,weather_delay_rate,borough,dry,Brooklyn,135541,0.3421252609911392,29.89705993020562,-3.679299990408807
2026-01,weather_delay_rate,borough,rainy,Brooklyn,17770,0.26797974113674733,24.458926092665543,0.11920090039392228
2026-01,weather_delay_rate,borough,dry,EWR,27,0.3333333333333333,14.825308641975308,-1.2111111111111112
2026-01,weather_delay_rate,borough,rainy,EWR,3,0.6666666666666666,32.84444444444444,2.966666666666667
2026-01,weather_delay_rate,borough,dry,Manhattan,2762085,0.3405836532909016,14.892502940109866,-2.4783077276767367
2026-01,weather_delay_rate,borough,rainy,Manhattan,312423,0.30470227864145727,14.133882802055759,1.5360315981857928
2026-01,weather_delay_rate,borough,dry,Queens,289697,0.23600520543878603,32.72381022240479,-2.6535835718008816
2026-01,weather_delay_rate,borough,rainy,Queens,31239,0.17785460482089696,29.15548353020263,0.5881206184576967
2026-01,weather_delay_rate,borough,dry,Staten Island,425,0.5223529411764706,29.12262745098039,-5.608705882352941
2026-01,weather_delay_rate,borough,rainy,Staten Island,35,0.6285714285714286,24.94857142857143,-1.0257142857142858
2026-01,weather_delay_rate,borough,dry,Unknown,4172,0.40364333652924256,17.387659795461808,-2.4370086289549375
2026-01,weather_delay_rate,borough,rainy,Unknown,408,0.4264705882352941,16.770016339869283,-0.01936274509803944
