month,metric,pickup_borough,trips,total_revenue,total_distance_mi,revenue_per_mile,avg_fare,avg_duration_min
2026-02,revenue_per_mile_by_borough,EWR,30,3360.8699999999994,246.82999999999998,13.616132560871854,87.48166666666665,21.829444444444448
2026-02,revenue_per_mile_by_borough,Manhattan,2820350,75270031.7,6869531.220000005,10.957084157483449,18.615434697821193,15.476609457455039
2026-02,revenue_per_mile_by_borough,Unknown,3898,148878.8,17493.769999999997,8.51038969873275,27.892473063109286,18.357687703095603
2026-02,revenue_per_mile_by_borough,Brooklyn,147509,5467460.959999999,798503.1000000001,6.847138051186024,32.528275834016924,29.756553046480782
2026-02,revenue_per_mile_by_borough,Staten Island,407,21892.710000000003,3569.67,6.132978678701393,42.103685503685504,27.46900081900082
2026-02,revenue_per_mile_by_borough,Queens,282427,18158612.459999997,3059564.0799999996,5.935032568430467,48.09015133114045,33.65785843185437
2026-02,revenue_per_mile_by_borough,Bronx,34334,1275477.8800000001,254842.50000000003,5.004965341338277,33.33104648453428,35.14595104949418
