month,metric,pickup_borough,trips,zero_distance_trips,zero_fare_trips,zero_distance_and_fare_trips,zero_distance_rate,zero_fare_rate,passenger_count_missing_rate,duplicate_key_rate
2026-02,zero_trip_rate,ALL,3288955,99470,1729,92,0.03024364881854571,0.0005256988922013223,0.3102772765209618,0.006601488922773343
2026-02,zero_trip_rate,Bronx,34334,1336,66,1,0.0389118657890138,0.001922292771014155,0.525950952408691,0.0010193976815984155
2026-02,zero_trip_rate,Brooklyn,147509,7923,193,5,0.05371197689632497,0.0013083947420157414,0.6917611806737216,0.001071121084137239
2026-02,zero_trip_rate,EWR,30,7,0,0,0.23333333333333334,0.0,0.0,0.0
2026-02,zero_trip_rate,Manhattan,2820350,84507,1248,81,0.029963302427003742,0.000442498271491127,0.29617281543070895,0.005836155087134576
2026-02,zero_trip_rate,Queens,282427,5552,215,5,0.01965817715728312,0.0007612586615302361,0.22851214650157387,0.01779220825204389
2026-02,zero_trip_rate,Staten Island,407,21,0,0,0.051597051597051594,0.0,0.8869778869778869,0.002457002457002457
2026-02,zero_trip_rate,Unknown,3898,124,7,0,0.03181118522319138,0.0017957927142124167,0.04592098512057465,0.008465879938429965
