month,metric,pickup_borough,trips,total_revenue,total_distance_mi,revenue_per_mile,avg_fare,avg_duration_min
2026-01,revenue_per_mile_by_borough,EWR,30,3651.1200000000003,222.66,16.397736459175427,98.96300000000001,16.627222222222223
2026-01,revenue_per_mile_by_borough,Manhattan,3074511,79192291.75999998,7572334.809999999,10.45810753843305,17.772140623338156,14.815411887180334
2026-01,revenue_per_mile_by_borough,Unknown,4580,167700.72999999998,19348.82,8.667232937202371,26.77289519650655,17.332638282387187
2026-01,revenue_per_mile_by_borough,Brooklyn,153311,5406754.2299999995,844158.5399999998,6.404903787385721,30.852722766142026,29.266735698460426
2026-01,revenue_per_mile_by_borough,Staten Island,460,23630.58,3959.0699999999997,5.968719926649441,40.82515217391304,28.805036231884056
2026-01,revenue_per_mile_by_borough,Queens,320937,20567000.719999995,3531895.1400000006,5.82321951947871,47.965828776364226,32.376583202726174
2026-01,revenue_per_mile_by_borough,Bronx,36217,1306527.3,273844.09,4.7710626144971755,32.45979926553829,36.67419720020985
