PULocationID,pickup_zone,pickup_hour,trips,avg_duration_min,median_duration_min,expected_duration_min,p90_duration_min,delay_rate,month,metric,low_sample
216,South Ozone Park,16,91,33.35,19.816666666666666,19.816666666666666,79.33333333333333,0.5934065934065934,2026-03,avg_duration_by_zone_hour,False
129,Jackson Heights,15,120,23.587777777777777,18.90833333333333,18.90833333333333,49.995000000000026,0.5583333333333333,2026-03,avg_duration_by_zone_hour,False
216,South Ozone Park,15,99,30.214309764309764,17.416666666666668,17.416666666666668,72.15,0.5555555555555556,2026-03,avg_duration_by_zone_hour,False
129,Jackson Heights,12,161,24.659627329192546,21.033333333333335,21.033333333333335,49.18333333333333,0.5341614906832298,2026-03,avg_duration_by_zone_hour,False
216,South Ozone Park,14,118,24.57175141242938,11.366666666666667,11.366666666666667,65.12166666666666,0.5338983050847458,2026-03,avg_duration_by_zone_hour,False
41,Central Harlem,14,1073,20.752795899347625,15.783333333333333,15.783333333333333,40.58666666666668,0.5181733457595527,2026-03,avg_duration_by_zone_hour,False
41,Central Harlem,17,1279,20.510529059160802,15.133333333333333,14.783333333333333,42.42333333333334,0.5074276778733385,2026-03,avg_duration_by_zone_hour,False
41,Central Harlem,15,1031,22.427077271257676,16.6,16.6,42.766666666666666,0.5053346265761397,2026-03,avg_duration_by_zone_hour,False
75,East Harlem South,20,1347,14.46620885919327,12.0,12.0,26.510000000000012,0.49962880475129917,2026-03,avg_duration_by_zone_hour,False
75,East Harlem South,19,1776,14.639714714714716,11.641666666666666,11.641666666666666,27.058333333333334,0.4983108108108108,2026-03,avg_duration_by_zone_hour,False
75,East Harlem South,14,2015,19.859636062861867,14.833333333333334,13.916666666666666,38.52000000000004,0.49627791563275436,2026-03,avg_duration_by_zone_hour,False
75,East Harlem South,11,1910,20.37541884816754,15.266666666666667,13.75,40.83666666666667,0.49162303664921464,2026-03,avg_duration_by_zone_hour,False
50,Clinton West,16,1371,16.83796498905908,13.333333333333334,12.2,27.85,0.4908825674690007,2026-03,avg_duration_by_zone_hour,False
41,Central Harlem,19,1215,15.725034293552813,11.85,11.6,30.393333333333345,0.4897119341563786,2026-03,avg_duration_by_zone_hour,False
75,East Harlem South,18,2036,16.40503438113949,12.508333333333333,10.908333333333333,32.125,0.48870333988212183,2026-03,avg_duration_by_zone_hour,False
228,Sunset Park West,21,43,25.23759689922481,20.966666666666665,20.966666666666665,44.28,0.4883720930232558,2026-03,avg_duration_by_zone_hour,False
24,Bloomingdale,16,571,15.330793928779919,11.733333333333333,11.733333333333333,29.2,0.4868651488616462,2026-03,avg_duration_by_zone_hour,False
83,Elmhurst/Maspeth,11,37,20.035135135135135,16.833333333333332,16.833333333333332,45.156666666666666,0.4864864864864865,2026-03,avg_duration_by_zone_hour,False
75,East Harlem South,12,1879,19.145893205605816,14.55,14.033333333333333,36.34666666666668,0.48642895156998406,2026-03,avg_duration_by_zone_hour,False
178,Ocean Parkway South,8,35,49.19666666666667,39.3,39.3,92.37666666666668,0.4857142857142857,2026-03,avg_duration_by_zone_hour,False
75,East Harlem South,21,1093,14.043168648978346,11.883333333333333,11.883333333333333,24.516666666666673,0.484903934126258,2026-03,avg_duration_by_zone_hour,False
131,Jamaica Estates,15,33,35.41161616161616,22.016666666666666,22.016666666666666,71.15666666666667,0.48484848484848486,2026-03,avg_duration_by_zone_hour,False
11,Bath Beach,14,31,48.63978494623657,25.133333333333333,25.133333333333333,111.96666666666667,0.4838709677419355,2026-03,avg_duration_by_zone_hour,False
131,Jamaica Estates,9,31,47.5768817204301,36.1,36.1,97.75,0.4838709677419355,2026-03,avg_duration_by_zone_hour,False
42,Central Harlem North,17,795,24.543752620545074,18.933333333333334,18.933333333333334,49.763333333333335,0.4830188679245283,2026-03,avg_duration_by_zone_hour,False
41,Central Harlem,11,793,20.923581336696092,17.2,17.2,38.08666666666667,0.48297604035308955,2026-03,avg_duration_by_zone_hour,False
75,East Harlem South,15,2292,20.274570971495056,14.191666666666666,13.350000000000001,40.230000000000004,0.4803664921465969,2026-03,avg_duration_by_zone_hour,False
41,Central Harlem,9,1034,19.32151837524178,16.041666666666668,16.041666666666668,36.74666666666668,0.4796905222437137,2026-03,avg_duration_by_zone_hour,False
41,Central Harlem,21,884,16.623567119155354,13.466666666666667,13.466666666666667,31.966666666666665,0.4796380090497738,2026-03,avg_duration_by_zone_hour,False
41,Central Harlem,12,907,20.571811833884603,15.8,15.8,38.38666666666666,0.4796030871003308,2026-03,avg_duration_by_zone_hour,False
75,East Harlem South,16,2261,20.46815568332596,14.1,12.558333333333334,42.25,0.47943387881468374,2026-03,avg_duration_by_zone_hour,False
41,Central Harlem,16,1177,23.053511753044464,15.366666666666667,13.7,52.120000000000005,0.4791843670348343,2026-03,avg_duration_by_zone_hour,False
246,West Chelsea/Hudson Yards,2,1025,11.904764227642277,9.9,9.9,21.700000000000003,0.4790243902439024,2026-03,avg_duration_by_zone_hour,False
75,East Harlem South,10,1684,17.951712193190815,13.575,13.575,34.39000000000001,0.47862232779097386,2026-03,avg_duration_by_zone_hour,False
263,Yorkville West,2,527,10.112745098039216,8.216666666666667,8.216666666666667,19.0,0.4781783681214421,2026-03,avg_duration_by_zone_hour,False
74,East Harlem North,12,786,20.277714164546225,16.958333333333336,16.958333333333336,38.266666666666666,0.4770992366412214,2026-03,avg_duration_by_zone_hour,False
264,Unknown,7,170,20.200588235294116,12.875,12.875,45.84333333333333,0.4764705882352941,2026-03,avg_duration_by_zone_hour,False
