PULocationID,pickup_zone,pickup_hour,trips,unreliable_trips,avg_duration_min,expected_duration_min,delay_rate,month,metric,benchmark_share_citywide_hour,benchmark_share_pickup_borough_hour,benchmark_share_pickup_zone_hour,benchmark_share_zone_pair_hour,low_sample
41,Central Harlem,17,1298,660,20.497663071391884,14.75,0.5084745762711864,2026-02,unreliable_trip_rate,0.0,0.0,0.4884437596302003,0.5115562403697997,False
75,East Harlem South,13,1608,795,20.30804311774461,14.241666666666667,0.4944029850746269,2026-02,unreliable_trip_rate,0.0,0.0,0.4060945273631841,0.5939054726368159,False
75,East Harlem South,16,1972,973,20.343162609871534,13.375,0.4934077079107505,2026-02,unreliable_trip_rate,0.0,0.0,0.3696754563894523,0.6303245436105477,False
75,East Harlem South,21,986,486,14.992021636240704,13.158333333333333,0.49290060851926976,2026-02,unreliable_trip_rate,0.0,0.0,0.6176470588235294,0.38235294117647056,False
24,Bloomingdale,15,565,278,16.612418879056047,13.733333333333333,0.4920353982300885,2026-02,unreliable_trip_rate,0.0,0.0,0.6353982300884956,0.36460176991150445,False
75,East Harlem South,14,1874,918,20.80808431163287,15.6,0.48986125933831376,2026-02,unreliable_trip_rate,0.0,0.0,0.3927427961579509,0.6072572038420491,False
20,Belmont,7,39,19,46.258547008547005,36.483333333333334,0.48717948717948717,2026-02,unreliable_trip_rate,0.0,0.0,1.0,0.0,False
74,East Harlem North,17,923,449,21.490538100397256,17.25,0.48645720476706394,2026-02,unreliable_trip_rate,0.0,0.0,0.6348862405200434,0.36511375947995667,False
219,Springfield Gardens South,5,35,17,39.78809523809524,33.6,0.4857142857142857,2026-02,unreliable_trip_rate,0.0,0.0,1.0,0.0,False
41,Central Harlem,14,933,453,22.048249374776706,16.8,0.4855305466237942,2026-02,unreliable_trip_rate,0.0,0.0,0.6130760986066452,0.38692390139335475,False
41,Central Harlem,16,971,471,22.633504977686236,15.5,0.4850669412976313,2026-02,unreliable_trip_rate,0.0,0.0,0.4799176107106076,0.5200823892893924,False
75,East Harlem South,19,1749,848,15.933457213645893,11.433333333333334,0.48484848484848486,2026-02,unreliable_trip_rate,0.0,0.0,0.41909662664379643,0.5809033733562036,False
41,Central Harlem,19,1128,546,17.12043439716312,12.941666666666666,0.48404255319148937,2026-02,unreliable_trip_rate,0.0,0.0,0.500886524822695,0.499113475177305,False
75,East Harlem South,12,1608,776,19.125342039800994,14.533333333333333,0.48258706467661694,2026-02,unreliable_trip_rate,0.0,0.0,0.3718905472636816,0.6281094527363185,False
75,East Harlem South,10,1393,672,19.223689877961235,15.633333333333333,0.4824120603015075,2026-02,unreliable_trip_rate,0.0,0.0,0.5068198133524767,0.49318018664752333,False
42,Central Harlem North,18,811,389,20.227784628031237,17.433333333333334,0.4796547472256473,2026-02,unreliable_trip_rate,0.0,0.0,0.6152897657213316,0.3847102342786683,False
42,Central Harlem North,16,735,352,26.171746031746032,20.85,0.47891156462585033,2026-02,unreliable_trip_rate,0.0,0.0,0.7006802721088435,0.29931972789115646,False
41,Central Harlem,18,1366,652,19.412493899463154,15.808333333333334,0.4773060029282577,2026-02,unreliable_trip_rate,0.0,0.0,0.41654465592972184,0.5834553440702782,False
41,Central Harlem,9,867,413,20.694367550941944,17.75,0.47635524798154555,2026-02,unreliable_trip_rate,0.0,0.0,0.6412918108419838,0.35870818915801617,False
134,Kew Gardens,9,42,20,36.90555555555555,26.45,0.47619047619047616,2026-02,unreliable_trip_rate,0.0,0.0,1.0,0.0,False
74,East Harlem North,16,899,428,22.563125695216907,17.616666666666667,0.4760845383759733,2026-02,unreliable_trip_rate,0.0,0.0,0.6674082313681868,0.3325917686318131,False
75,East Harlem South,11,1560,742,19.65888888888889,15.325,0.4756410256410256,2026-02,unreliable_trip_rate,0.0,0.0,0.3737179487179487,0.6262820512820513,False
246,West Chelsea/Hudson Yards,3,900,428,11.76612962962963,9.2,0.47555555555555556,2026-02,unreliable_trip_rate,0.0,0.0,0.6655555555555556,0.33444444444444443,False
