month,metric,pickup_borough,trips,zero_distance_trips,zero_fare_trips,zero_distance_and_fare_trips,zero_distance_rate,zero_fare_rate,passenger_count_missing_rate,duplicate_key_rate
2026-01,zero_trip_rate,ALL,3590046,98006,1467,100,0.0272993716515053,0.0004086298615672334,0.30216465192925107,0.008941111060972479
2026-01,zero_trip_rate,Bronx,36217,1128,50,0,0.031145594610265896,0.0013805671369798713,0.4967280558853577,0.0010216196813651048
2026-01,zero_trip_rate,Brooklyn,153311,7444,157,6,0.048554898213435435,0.0010240622003639661,0.6954230290063987,0.0014741277533901677
2026-01,zero_trip_rate,EWR,30,7,0,0,0.23333333333333334,0.0,0.03333333333333333,0.0
2026-01,zero_trip_rate,Manhattan,3074511,84280,1094,85,0.027412489335702492,0.00035582894320430143,0.2901830567527649,0.00761129168183168
2026-01,zero_trip_rate,Queens,320937,4995,160,9,0.015563802241561429,0.0004985402119419076,0.2100879611886445,0.026095464218834227
2026-01,zero_trip_rate,Staten Island,460,11,0,0,0.02391304347826087,0.0,0.8130434782608695,0.002173913043478261
2026-01,zero_trip_rate,Unknown,4580,141,6,0,0.030786026200873364,0.0013100436681222707,0.045414847161572056,0.012882096069868995
