month,metric,scope,condition,pickup_borough,trips,delay_rate,avg_duration_min,avg_temperature_c
2026-03,weather_delay_rate,citywide,rainy,ALL,628349,0.332869153925605,17.449018645158457,6.268316970346097
2026-03,weather_delay_rate,citywide,dry,ALL,3203443,0.3083120255300313,17.424982849182385,7.6809003625162005
2026-03,weather_delay_rate,borough,dry,Bronx,33661,0.36083301149698466,37.90548112058466,6.763613677549687
2026-03,weather_delay_rate,borough,rainy,Bronx,5775,0.3683116883116883,37.78172871572871,6.480536796536797
2026-03,weather_delay_rate,borough,dry,Brooklyn,133220,0.3392133313316319,30.143900190161634,6.7075153880798695
2026-03,weather_delay_rate,borough,rainy,Brooklyn,24710,0.34277620396600567,30.24485430999595,6.679817887494942
2026-03,weather_delay_rate,borough,dry,EWR,29,0.27586206896551724,11.22471264367816,7.4448275862068956
2026-03,weather_delay_rate,borough,rainy,EWR,2,0.0,1.4,4.449999999999999
2026-03,weather_delay_rate,borough,dry,Manhattan,2750658,0.3162112483631189,14.798739192585925,7.731669767742847
2026-03,weather_delay_rate,borough,rainy,Manhattan,544382,0.3414587550653769,14.974983528723092,6.1599678167169385
2026-03,weather_delay_rate,borough,dry,Queens,281453,0.20826567846141275,34.60420372140286,7.751075668051147
2026-03,weather_delay_rate,borough,rainy,Queens,52744,0.23458592446534202,34.74073796703575,7.178010768997422
2026-03,weather_delay_rate,borough,dry,Staten Island,382,0.5287958115183246,24.288961605584642,9.350523560209425
2026-03,weather_delay_rate,borough,rainy,Staten Island,55,0.6727272727272727,28.938787878787878,6.025454545454544
2026-03,weather_delay_rate,borough,dry,Unknown,4040,0.42277227722772276,18.04488861386139,7.809579207920791
2026-03,weather_delay_rate,borough,rainy,Unknown,681,0.3920704845814978,18.29982868330886,5.718649045521293
