month,metric,pickup_borough,trips,zero_distance_trips,zero_fare_trips,zero_distance_and_fare_trips,zero_distance_rate,zero_fare_rate,passenger_count_missing_rate,duplicate_key_rate
2026-03,zero_trip_rate,ALL,3831806,92072,2244,115,0.024028356341631075,0.0005856246375729878,0.2460852663208941,0.004333204760366261
2026-03,zero_trip_rate,Bronx,39436,1014,105,1,0.025712546911451466,0.0026625418399431992,0.4453544984278324,0.000684653615985394
2026-03,zero_trip_rate,Brooklyn,157930,6294,255,3,0.039853099474450704,0.0016146393972012918,0.6210536313556639,0.000987779395934908
2026-03,zero_trip_rate,EWR,31,12,0,0,0.3870967741935484,0.0,0.03225806451612903,0.0
2026-03,zero_trip_rate,Manhattan,3295054,80225,1495,89,0.024347097194765244,0.0004537103185562361,0.23365535132352913,0.00396381971281806
2026-03,zero_trip_rate,Queens,334197,4248,295,20,0.012711065628955376,0.0008827128908996789,0.17027082828391638,0.009967175049446882
2026-03,zero_trip_rate,Staten Island,437,12,83,0,0.02745995423340961,0.18993135011441648,0.7757437070938215,0.002288329519450801
2026-03,zero_trip_rate,Unknown,4721,267,11,2,0.05655581444609193,0.0023300148273670833,0.03262020758313917,0.00593094683329803
